date,open,high,low,close
2018-09-14 15:00:00,12320.000,12330.000,12315.000,12330.000
2018-09-14 14:55:00,12320.000,12320.000,12315.000,12315.000
2018-09-14 14:50:00,12310.000,12320.000,12310.000,12315.000
2018-09-14 14:45:00,12325.000,12325.000,12310.000,12310.000
2018-09-14 14:40:00,12320.000,12320.000,12315.000,12320.000
2018-09-14 14:35:00,12305.000,12320.000,12305.000,12315.000
2018-09-14 14:30:00,12315.000,12320.000,12315.000,12320.000
2018-09-14 14:25:00,12325.000,12330.000,12310.000,12310.000
2018-09-14 14:20:00,12310.000,12325.000,12300.000,12300.000
2018-09-14 14:15:00,12320.000,12330.000,12305.000,12305.000
2018-09-14 14:10:00,12325.000,12325.000,12305.000,12320.000
2018-09-14 14:05:00,12320.000,12325.000,12320.000,12320.000
2018-09-14 14:00:00,12335.000,12335.000,12320.000,12325.000
2018-09-14 13:55:00,12330.000,12335.000,12325.000,12330.000
2018-09-14 13:50:00,12335.000,12340.000,12335.000,12340.000
2018-09-14 13:45:00,12340.000,12350.000,12340.000,12345.000
2018-09-14 13:40:00,12330.000,12340.000,12330.000,12340.000
2018-09-14 13:35:00,12325.000,12335.000,12325.000,12335.000
2018-09-14 11:30:00,12330.000,12335.000,12325.000,12335.000
2018-09-14 11:25:00,12320.000,12330.000,12320.000,12330.000
2018-09-14 11:20:00,12320.000,12320.000,12305.000,12310.000
2018-09-14 11:15:00,12335.000,12345.000,12305.000,12305.000
2018-09-14 11:10:00,12340.000,12340.000,12340.000,12340.000
2018-09-14 11:05:00,12335.000,12340.000,12335.000,12335.000
2018-09-14 11:00:00,12340.000,12340.000,12330.000,12340.000
2018-09-14 10:55:00,12340.000,12350.000,12340.000,12350.000
2018-09-14 10:50:00,12360.000,12360.000,12350.000,12350.000
2018-09-14 10:45:00,12365.000,12365.000,12355.000,12355.000
2018-09-14 10:40:00,12365.000,12370.000,12355.000,12370.000
2018-09-14 10:35:00,12360.000,12370.000,12355.000,12370.000
2018-09-14 10:20:00,12355.000,12355.000,12355.000,12355.000
2018-09-14 10:15:00,12370.000,12380.000,12360.000,12360.000
2018-09-14 10:10:00,12370.000,12380.000,12370.000,12380.000
2018-09-14 10:05:00,12375.000,12375.000,12365.000,12365.000
2018-09-14 10:00:00,12375.000,12375.000,12365.000,12370.000
2018-09-14 09:55:00,12360.000,12375.000,12360.000,12375.000
2018-09-14 09:50:00,12360.000,12365.000,12360.000,12360.000
2018-09-14 09:45:00,12385.000,12385.000,12365.000,12365.000
2018-09-14 09:40:00,12360.000,12385.000,12360.000,12370.000
2018-09-14 09:35:00,12355.000,12360.000,12355.000,12360.000
2018-09-14 09:30:00,12360.000,12370.000,12360.000,12360.000
2018-09-14 09:25:00,12360.000,12360.000,12350.000,12350.000
2018-09-14 09:20:00,12345.000,12355.000,12345.000,12350.000
2018-09-14 09:15:00,12330.000,12345.000,12330.000,12345.000
2018-09-14 09:10:00,12335.000,12345.000,12325.000,12345.000
2018-09-14 09:05:00,12330.000,12340.000,12320.000,12330.000
2018-09-13 23:05:00,12305.000,12305.000,12305.000,12305.000
2018-09-13 23:00:00,12315.000,12315.000,12300.000,12300.000
2018-09-13 22:55:00,12320.000,12325.000,12310.000,12310.000
2018-09-13 22:50:00,12315.000,12325.000,12315.000,12315.000
2018-09-13 22:45:00,12320.000,12320.000,12315.000,12315.000
2018-09-13 22:40:00,12330.000,12330.000,12320.000,12320.000
2018-09-13 22:35:00,12330.000,12335.000,12330.000,12330.000
2018-09-13 22:30:00,12320.000,12325.000,12320.000,12325.000
2018-09-13 22:25:00,12355.000,12355.000,12335.000,12335.000
2018-09-13 22:20:00,12360.000,12360.000,12340.000,12355.000
2018-09-13 22:15:00,12345.000,12360.000,12345.000,12360.000
2018-09-13 22:10:00,12340.000,12340.000,12330.000,12340.000
2018-09-13 22:05:00,12345.000,12345.000,12340.000,12340.000
2018-09-13 22:00:00,12340.000,12350.000,12340.000,12350.000
